,40.0,60.0,20.0,80.0
2018-05-15,1643.1476103602913,1675.708805251798,1759.0738165639857,1451.206394693739
2018-05-16,1611.6322450785115,1572.2595205621092,1743.3148938825602,1361.6166861492256
2018-05-17,1616.6496051958995,1587.4507866381725,1745.8243212914354,1374.7727084867515
2018-05-18,1595.343526711655,1525.778489820343,1735.1722749347484,1321.362932732714
2018-05-19,1527.2229036534243,1368.2105101169957,1701.1131944175022,1184.905059487887
2018-05-20,1544.1871584628873,1402.854233337897,1709.5946260789906,1214.9074038789938
2018-05-21,1632.7971855456417,1639.5121225529888,1753.898712458095,1419.8591479439076
2018-05-22,1639.1167587368898,1661.3247725831066,1757.0594874338124,1438.7494569938156
2018-05-23,1685.3043564288116,1852.5657883052443,1780.1534445465295,1604.3690348545124
2018-05-24,1667.9270428171806,1773.1328207439406,1771.4645077925375,1535.5780670483673
2018-05-25,1632.7971855456426,1639.5121225529888,1753.8987124582313,1419.8591479439076
2018-05-26,1661.403460318422,1745.8522274233906,1768.2015505234945,1511.9523802024983
2018-05-27,1592.4299990419474,1517.893276880195,1733.715120517835,1314.5341380123982
2018-05-28,1676.9962208463483,1813.2843130626834,1775.9992429114702,1570.350279396288
2018-05-29,1663.0725754240584,1752.7121840163377,1769.036406412158,1517.893276880822
2018-05-30,1628.3926581785124,1624.8076809266288,1751.6957599079446,1407.1247279470285
2018-05-31,1592.4299990419474,1517.8932768801947,1733.715120517836,1314.5341380123982
2018-06-01,1580.1449138070664,1485.9340496794189,1727.5731275120568,1286.8566353716326
2018-06-02,1527.222903653424,1368.2105101169911,1701.1131944175002,1184.9050594878872
2018-06-03,1592.429999041948,1517.893276880195,1733.7151205178352,1314.5341380123982
2018-06-04,1600.994025380531,1541.427909439277,1737.9982817662471,1334.9157276772187
2018-06-05,1669.4941139804146,1779.8876369027735,1772.2467926970776,1541.4279094398155
2018-06-06,1695.349739122474,1903.680645486202,1785.1727285431273,1648.63579968409
2018-06-07,1678.4294062616038,1819.8901065721468,1776.714638259442,1576.0710643876437
2018-06-08,1566.7406255134604,1453.2721699652805,1720.8692862378502,1258.5706178041817
2018-06-09,1522.705860838659,1359.4116374352536,1698.8542020326156,1177.2850122209118
2018-06-10,1626.1320210594322,1617.405329531888,1750.566941655891,1400.7141035914499
2018-06-11,1616.6496051959002,1587.4507866381725,1745.8243212914367,1374.7727084867515
2018-06-12,1703.3150329946402,1947.3058311416964,1789.159712561712,1686.4163187066235
2018-06-13,1682.6128795982456,1839.5651660104602,1778.807184978184,1593.1101656822102
2018-06-14,1672.5621316668212,1793.320941716593,1773.7813727601479,1553.061492665374
2018-06-15,1592.4299990419474,1517.8932768801951,1733.715120517836,1314.5341380123982
2018-06-16,1498.2387822789342,1314.534138010988,1686.618111651687,1138.419957660611
2018-06-17,1513.3104554102588,1341.6407864980533,1694.155519691136,1161.8950038622208
2018-06-18,1611.6322450785117,1572.2595205621087,1743.314893882558,1361.6166861492254
2018-06-19,1628.392658178515,1624.807680926629,1751.695759907945,1407.1247279470285
2018-06-20,1666.3337787516318,1766.352173265396,1770.667590981003,1529.7058540778355
2018-06-21,1659.7078545860916,1738.9652095424776,1767.3534445859427,1505.9880477613358
2018-06-22,1559.573277785358,1436.6627996837226,1717.2870547196637,1244.1864811996631
2018-06-23,1518.0699626380467,1350.5554412887418,1696.5357695632629,1169.615321377072
2018-06-24,1487.4755883988937,1296.1481396804788,1681.2382795079716,1122.4972160321759
2018-06-25,1552.0622311122054,1419.8591479420313,1713.5306363444217,1229.6340919151512
2018-06-26,1606.4184853832483,1556.9200364817248,1740.709238166071,1348.3323032546532
2018-06-27,1659.70785458609,1738.9652095424774,1767.3534445859416,1505.9880477613358
2018-06-28,1639.1167587368916,1661.3247725831066,1757.0594874338124,1438.7494569938156
2018-06-29,1619.0872935396228,1594.9921629895691,1747.0435285636456,1381.30373198656
2018-06-30,1628.3926581785126,1624.807680926629,1751.6957599079444,1407.1247279470285
2018-07-01,1669.494113980413,1779.8876369027735,1772.246792697075,1541.4279094398155
2018-07-02,1648.9429850756705,1697.0562748473012,1761.97076957504,1469.6938456699068
2018-07-03,1683.9680939223565,1846.076921474038,1779.4850545517902,1598.7495113369073
2018-07-04,1692.9414640661478,1891.0314645713415,1783.9707649806078,1637.6812876747417
2018-07-05,1632.797185545643,1639.512122552989,1753.8987124580913,1419.8591479439074
2018-07-06,1566.7406255134601,1453.2721699652798,1720.8692862378543,1258.5706178041817
2018-07-07,1476.0780578595254,1277.497553813042,1675.5398967491951,1106.345334875139
2018-07-08,1552.0622311122056,1419.8591479420331,1713.5306363446775,1229.6340919151512
2018-07-09,1623.8272593169193,1609.9689437992724,1749.4142174836297,1394.2740046346696
2018-07-10,1667.9270428171808,1773.1328207439406,1771.4645077925368,1535.578067048367
2018-07-11,1710.597455744771,1989.9748742127474,1792.7999933763683,1723.3687939614083
2018-07-12,1654.4577600032428,1718.1385275928217,1764.7291016809172,1487.9516121164693
2018-07-13,1531.6256040608228,1376.9531582427367,1703.315003676194,1192.476414861105
2018-07-14,1498.2387822789337,1314.5341380109874,1686.618111651824,1138.4199576606109
2018-07-15,1598.1976016963183,1533.6231610139405,1736.59969503991,1328.1566172707187
2018-07-16,1654.4577600032414,1718.1385275928214,1764.7291016809163,1487.9516121164693
2018-07-17,1674.0620555075104,1799.9999999997951,1774.531613943552,1558.8457268119894
2018-07-18,1663.0725754240586,1752.7121840163377,1769.0364064121575,1517.893276880822
2018-07-19,1674.062055507511,1799.9999999997951,1774.53161394355,1558.8457268119896
2018-07-20,1632.797185545643,1639.512122552989,1753.8987124582313,1419.8591479439076
2018-07-21,1611.632245078514,1572.259520562109,1743.3148938825557,1361.6166861492256
2018-07-22,1589.455141464119,1509.9668870534026,1732.2272929241913,1307.6696830622016
2018-07-23,1619.0872935396221,1594.992162989569,1747.0435285636447,1381.30373198656
2018-07-24,1671.0396553225203,1786.6169147299915,1773.0198511248607,1547.255634987315
2018-07-25,1663.0725754240596,1752.7121840163377,1769.036406412156,1517.893276880822
2018-07-26,1659.7078545860904,1738.9652095424774,1767.3534445859418,1505.9880477613358
2018-07-27,1623.82725931692,1609.968943799272,1749.4142174836265,1394.2740046346698
2018-07-28,1531.6256040608223,1376.9531582427371,1703.3150036761924,1192.4764148611048
2018-07-29,1559.573277785358,1436.662799683722,1717.2870547196635,1244.1864811996631
2018-07-30,1603.734527102029,1549.1933384824163,1739.3689000141856,1341.6407864998732
2018-07-31,1647.042944295142,1689.9704139417738,1761.02042372088,1463.5573101180562
2018-08-01,1656.2367267709474,1725.1086922274842,1765.6188897886607,1493.9879517586478
2018-08-02,1672.5621316668194,1793.320941716593,1773.7813727601501,1553.061492665374
2018-08-03,1576.9043032894285,1477.8362561516592,1725.9524119568744,1279.8437404620922
2018-08-04,1503.4002971010077,1323.6313686203705,1689.1994072371147,1146.298390472563
2018-08-05,1641.1506528666152,1668.5322891686444,1758.0767525992076,1444.9913494550751
2018-08-06,1682.6128795982468,1839.5651660104604,1778.8071849776702,1593.1101656822102
2018-08-07,1672.5621316668212,1793.320941716593,1773.7813727596342,1553.061492665374
2018-08-08,1710.5974557446848,1989.9748742127474,1792.7999933768513,1723.3687939614083
2018-08-09,1675.539924267002,1806.6543665015827,1775.270823480886,1564.6085772486356
2018-08-10,1570.2046411181195,1461.5060725142048,1722.601732621868,1265.7013865837391
2018-08-11,1566.7406255134597,1453.2721699652818,1720.8692862377115,1258.5706178041817
