Hotel,fecha,occ,habs_disp,tp,po,pt,te
CEINS,2018-07-19,0.955975,159,1468.16,1.12946,0.990857,1403.52
CEINS,2018-07-20,0.823899,159,1200.33,1.33231,0.946244,988.947
CEINS,2018-07-21,0.761006,159,1157.58,1.46799,0.949233,880.927
CEINS,2018-07-22,0.786164,159,1285.35,1.32619,0.927673,1010.5
CEINS,2018-07-23,0.861635,159,1533.87,1.04365,1.0258,1321.64
CEINS,2018-07-24,0.937107,159,1648.15,1.10196,1.02186,1544.5
CEINS,2018-07-25,1,159,1677.46,1.13533,1.0022,1677.46
CEINS,2018-07-26,1,159,1697.72,1.13225,1.04919,1697.72
CEINS,2018-07-27,0.861635,159,1252.88,1.34295,0.985636,1079.52
CEINS,2018-07-28,0.830189,159,1128.96,1.3186,0.900147,937.251
CEINS,2018-07-29,0.666667,159,1142.77,1.2475,0.859487,761.846
CEINS,2018-07-30,0.666667,159,1388.44,0.993246,0.92946,925.629
CEINS,2018-07-31,0.597484,159,1497.16,0.8923,0.939496,894.532
CEINS,2018-08-01,0.767296,159,1474.24,0.99597,0.901174,1131.18
CEINS,2018-08-02,0.880503,159,1483.63,1.13584,0.960837,1306.34
CEINS,2018-08-03,0.647799,159,1153.5,1.17355,0.802364,747.234
CEINS,2018-08-04,0.628931,159,1107.24,1.15104,0.909122,696.376
CEINS,2018-08-05,0.679245,159,1310.97,1.21991,0.970371,890.469
CEINS,2018-08-06,0.943396,159,1761.45,1.21949,1.10582,1661.74
CEINS,2018-08-07,1,159,1692.96,1.12511,1.01512,1692.96
CEINS,2018-08-08,1,159,1698.38,1.11508,1.03639,1698.38
CEINS,2018-08-09,0.886792,159,1608.5,1.16072,0.997043,1426.41
CEINS,2018-08-10,0.830189,159,1165.52,1.15432,0.906861,967.602
CEINS,2018-08-11,0.72327,159,1124.58,1.20867,0.923036,813.372
CEINS,2018-08-12,0.616352,159,1169.78,0.982704,0.881754,720.995
CEINS,2018-08-13,0.761006,159,1475.98,1.87255,1.02567,1123.23
