"Hotel","fecha","occ","habs_disp","tp","po","pt","te"
"CEINS","2017-02-15",0.974843,159,1762.89,1.04393,1.0339,1718.54
"CEINS","2017-02-16",1,159,1743.09,1.09127,1.0615,1743.09
"CEINS","2017-02-17",0.830189,159,1297.67,1.07083,0.893964,1077.31
"CEINS","2017-02-18",0.930818,159,1224.22,1.2354,0.91383,1139.53
"CEINS","2017-02-19",0.81761,159,1361.17,1.26601,0.987131,1112.91
"CEINS","2017-02-20",1,159,1670.34,1.13076,1.00961,1670.34
"CEINS","2017-02-21",1,159,1722.13,1.0088,0.983281,1722.13
"CEINS","2017-02-22",1,159,1780.37,1.00806,0.990154,1780.37
"CEINS","2017-02-23",1,159,1739.18,1.05449,1.01259,1739.18
"CEINS","2017-02-24",0.830189,159,1242.82,1.03229,0.960899,1031.78
"CEINS","2017-02-25",0.899371,159,1202.97,1.04723,0.900493,1081.92
"CEINS","2017-02-26",0.742138,159,1257.46,1.03839,0.963361,933.208
"CEINS","2017-02-27",0.830189,159,1607.57,0.950566,1.03135,1334.58
"CEINS","2017-02-28",0.861635,159,1676.83,0.964863,1.01408,1444.82
"CEINS","2017-03-01",0.830189,159,1683.75,0.873414,0.999394,1397.83
"CEINS","2017-03-02",0.830189,159,1671.27,0.891156,1.02114,1387.47
"CEINS","2017-03-03",0.484277,159,1239.37,0.641037,0.886819,600.196
"CEINS","2017-03-04",0.402516,159,1197.34,0.708139,0.982536,481.949
"CEINS","2017-03-05",0.628931,159,1269.81,0.906769,0.965327,798.62
"CEINS","2017-03-06",0.735849,159,1552.42,0.839748,0.991187,1142.34
"CEINS","2017-03-07",0.855346,159,1619.75,0.93496,0.992541,1385.45
"CEINS","2017-03-08",0.987421,159,1719.94,1.00796,1.0333,1698.3
"CEINS","2017-03-09",0.968553,159,1710.54,1.01047,1.05232,1656.75
"CEINS","2017-03-10",0.616352,159,1324.34,0.878494,1.02298,816.26
"CEINS","2017-03-11",0.433962,159,1212.26,0.714945,0.96353,526.075
"CEINS","2017-03-12",0.81761,159,1284.33,1.15338,0.923253,1050.08
"CEINS","2017-03-13",0.91195,159,1604.06,1.01706,0.974542,1462.82
"CEINS","2017-03-14",1,159,1637.35,1.02004,0.976193,1637.35
"CEINS","2017-03-15",1,159,1685.89,1.00146,0.995555,1685.89
"CEINS","2017-03-16",1,159,1665.75,1.08445,0.996447,1665.75
"CEINS","2017-03-17",0.849057,159,1261.38,1.19529,0.950441,1070.98
"CEINS","2017-03-18",0.899371,159,1216.07,1.22837,0.963791,1093.7
"CEINS","2017-03-19",0.559748,159,1171.03,1.19055,0.882494,655.479
"CEINS","2017-03-20",0.528302,159,1374.18,1.07221,0.869547,725.984
"CEINS","2017-03-21",0.830189,159,1629.15,1.0874,1.00319,1352.5
"CEINS","2017-03-22",1,159,1675.87,1.0768,1.02659,1675.87
"CEINS","2017-03-23",1,159,1709.03,1.02614,1.00098,1709.03
