"plaza","hotel","valor"
"CEVSA","FIrefield Inn",3.7
"CEVSA","Courtyard Marriott",4.55
"CSPAU","NH Select",4.55
"CJSLI","Encore",4.95
"CESLP","CJSLI",3.25
"CJTUX","CJTUX",4.3
"CJTUX","Best Western",3.85
"CEJAL","Holiday Inn Express",4.3
"CEAGU","CJAGU",3.65
"CECEG","Candlewood",4.35
"CEEGD","Hampton Inn Guadalajara Expo",3.75
"CEEGD","AC Guadalajara Expo",4.2
"CSSIL","Holiday Inn Express Y Suites",4.35
"CECEN","Holiday Inn Express Y suites",4.6
"CJCME","CJCMI",3.45
"CEDGO","Hampton Inn",2.75
"CETII","Extended Suites",3.15
"CECME","Fiesta Inn Loft",3.95
"CECME","Extended Suites",2.7
"CPMED","CPMED",3.75
"CPMED","Estelar Blue",3.7
"CPMED","Four Points",4.05
"CPMED","Hampton",3.25
"CPMED","HIE",2.95
"CEMTY","Wyndham Garden",3.1
"CETII","Sleep Inn",3.55
"CJLEO","Real de Minas Express",4
"CJLEO","One Antares",3.65
"CJLEO","One Poliforum",3.65
"CJLEO","CJLEO",4
"CETIO","CETIO",3.7
"CETIO","Fiesta Inn",3.8
"CETIO","Gamma",3.2
"CETIO","Hampton Inn",4.3
"CPLEO","CPLEO",4.45
"CPLEO","CELEO",4.25
"CPLEO","Holiday Inn Leon",4.45
"CPLEO","Fiesta Inn",4.5
"CPLEO","Holiday Inn Centro de Convenciones",4.45
"CPLEO","Real de Minas",3.8
"CPLEO","NH",4.65
"CPLEO","Plaza Stadium",3.8
"CPLEO","HS Hotsson",4.75
"CJLEO","CELEO",4.2
"CJLEO","Holiday Inn Centro de Convenciones",4.5
"CCOAX","CCOAX",4.35
"CCOAX","Holiday Inn Express Oaxaca",4.15
"CCOAX","Fiesta Inn Oaxaca",4.2
"CCOAX","Quinta Real Oaxaca",4.45
"CEMTA","Hampton Inn",3.9
"CEMTA","Holiday Inn Express y Suites",4
"CEMTA","LQ Hotel",4
"CEMTL","CEMTL",4.05
"CEMTL","Four Points Lindavista",3.85
"CEMTL","Quality Inn",3.7
"CEMTL","Fiesta Inn Fundidora",4.35
"CEMXL","Extended Suites",2.9
"CEPAT","Hampton Inn Paraiso",4.45
"CEPAU","Encore Puebla",4.5
"CJPAU","One Galerias Serdan",4.15
"CETPQ","CETPQ",4.25
"CETPQ","Fiesta Inn",4.7
"CETPQ","Las Palomas",3.55
"CETPQ","Best Western",3.75
"CCMEX","Punto MX",3.85
"CETAM","Gamma Tampico",3
"CEBNV","Fiesta Inn",4.55
"CSSFE","AC By Marriot",4.65
"CECLO","Spiwak",4.3
"CECLO","Stancia",3.2
"CJPAN","One",2.15
