"id","hotel_id","hotel_clave","fecha","eventos"
40101,1,"CEINS","2016-02-26",0
40100,1,"CEINS","2016-02-25",0
40099,1,"CEINS","2016-02-24",0
40098,1,"CEINS","2016-02-23",0
40097,1,"CEINS","2016-02-22",0
40096,1,"CEINS","2016-02-21",0
40095,1,"CEINS","2016-02-20",0
40094,1,"CEINS","2016-02-19",0
40093,1,"CEINS","2016-02-18",0
40092,1,"CEINS","2016-02-17",0
40091,1,"CEINS","2016-02-16",0
40090,1,"CEINS","2016-02-15",0
40089,1,"CEINS","2016-02-14",2
40088,1,"CEINS","2016-02-13",2
40087,1,"CEINS","2016-02-12",2
40086,1,"CEINS","2016-02-11",0
40085,1,"CEINS","2016-02-10",0
40084,1,"CEINS","2016-02-09",0
